t_peak_ms,residual_frac,angle_x_deg,angle_y_deg,angle_z_deg,tt_deg_final,st_deg_final,mt_deg_final,failed
40,0.25,0,0,0,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
40,0.25,0,0,25,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
40,0.25,0,25,0,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
40,0.25,0,25,25,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
40,0.25,25,0,0,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
40,0.25,25,0,25,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
40,0.25,25,25,0,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
40,0.25,25,25,25,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
40,0.5,0,0,0,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
40,0.5,0,0,25,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
40,0.5,0,25,0,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
40,0.5,0,25,25,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
40,0.5,25,0,0,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
40,0.5,25,0,25,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
40,0.5,25,25,0,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
40,0.5,25,25,25,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
60,0.25,0,0,0,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
60,0.25,0,0,25,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
60,0.25,0,25,0,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
60,0.25,0,25,25,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
60,0.25,25,0,0,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
60,0.25,25,0,25,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
60,0.25,25,25,0,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
60,0.25,25,25,25,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
60,0.5,0,0,0,-1.7462146422092106e-06,0.452246632225does 51337,0.21617527047081103,0
60,0.5,0,0,25,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
60,0.5,0,25,0,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
60,0.5,0,25,25,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
60,0.5,25,0,0,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
60,0.5,25,0,25,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
60,0.5,25,25,0,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
60,0.5,25,25,25,-1.7462146422092106e-06,0.45224663222551337,0.21617527047081103,0
60,0.5,0,0,0,0.1,,-4.200478755892307e-06,4.816184048145801e-06,0.2619125096564505,0
